front,profit,time
0,41815.0,13169.786259698783
0,42036.0,17225.522511905292
0,41815.0,13169.786259698783
0,41868.0,16628.582068209435
1,41933.0,25522.788844444614
1,41873.0,20109.52421952638
1,41815.0,13307.854250087908
1,41119.0,13272.750084839687
2,41815.0,13327.1693872265
3,41815.0,13608.687790629232
4,41815.0,13639.532998806935
5,41815.0,13861.34030584822
6,41815.0,13883.982116231498
7,41815.0,13929.084402289105
8,41815.0,13932.166685364915
9,41815.0,13983.417747695583
10,41815.0,14076.628348783679
11,41815.0,14096.244703969402
11,41815.0,14096.244703969402
12,41815.0,14132.186252562458
13,41815.0,14273.044854558666
14,41815.0,14311.741622337273
15,41815.0,14415.600065843848
15,41815.0,14415.600065843848
16,41815.0,14502.370113762117
17,41815.0,14522.239835361337
18,41815.0,14609.886197288333
18,41815.0,14609.886197288333
19,41815.0,14656.468552372633
20,41815.0,14715.01758171016
21,41815.0,14715.074433522597
22,41815.0,14728.694747655441
23,41815.0,14730.94843180614
24,41815.0,14887.72322031038
25,41815.0,14894.316016216948
26,41815.0,14903.15473200358
27,41815.0,15017.912247479608
28,41815.0,15046.173268665367
29,41815.0,15067.341824316043
30,41815.0,15117.550894414897
31,41815.0,15147.64855994332
32,41815.0,15244.864096114661
33,41815.0,15250.209258238405
33,41815.0,15250.209258238405
34,41815.0,15274.362492366929
35,41815.0,15307.366656463424
35,41444.0,15307.065667148021
36,41815.0,15311.881992789122
36,41815.0,15311.881992789122
37,41815.0,15328.7261278195
38,41815.0,15430.220722022152
39,41815.0,15454.806656083994
40,41815.0,15457.083074042974
41,41815.0,15509.15240938508
42,41815.0,15519.601891665863
43,41815.0,15627.62069789654
44,41815.0,15632.312150519627
45,41815.0,15637.578458182767
46,41815.0,15644.50820715294
47,41815.0,15842.082464977497
48,41815.0,15842.474889280418
49,41815.0,15975.222561858332
50,41815.0,16005.962316570392
51,41815.0,16068.316427238813
52,41815.0,16147.68700426683
53,41815.0,16160.95066165517
54,41815.0,16184.018590052765
55,41815.0,16229.62422503929
55,41504.0,16201.531232824376
56,41815.0,16229.91634944657
57,41815.0,16291.43315968397
58,41815.0,16373.506804749917
59,41815.0,16405.243636192317
60,41815.0,16561.73321511507
60,41200.0,16472.050354014355
61,41815.0,16567.137273639197
62,41815.0,16610.04169118072
63,41815.0,16634.145639921728
64,41815.0,16648.375945990938
64,41815.0,16648.375945990938
64,41815.0,16648.375945990938
65,41815.0,16693.89249998817
66,41618.0,16702.48184634076
66,41815.0,16718.92612705764
67,41815.0,16733.94008503507
68,41815.0,16804.679028312356
69,41815.0,16856.833336746346
70,41815.0,16901.203044836635
71,41815.0,17059.233856870258
72,41815.0,17195.491949592786
72,41750.0,17177.919034915765
73,41815.0,17211.635448571084
74,41815.0,17277.50822438165
75,41815.0,17281.217066940662
76,41815.0,17294.42090855569
77,41815.0,17308.999499630238
78,41815.0,17411.41781001241
79,41815.0,17418.961391229142
80,41815.0,17474.55360349905
81,41815.0,17494.96493833777
